step,co,stel_co,twa_co,proj_co,no2,stel_no2,twa_no2,proj_no2,model_ok,x0,x1,x2,x3,x4,x5,x6,x7,rule_co,lp_co,rule_no2,lp_no2
53,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2269657,0.3486589,0,0,0,0
54,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2190545,0.3468781,0,0,0,0
55,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2249395,0.3453867,0,0,0,0
56,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2289814,0.3520186,0,0,0,0
57,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2266024,0.3496931,0,0,0,0
58,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2241113,0.3477178,0,0,0,0
59,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2272931,0.3488386,0,0,0,0
60,0,nan,0,nan,0.1236585,nan,4.293697e-05,nan,0,0,0.03318407,0,0,0,0,0.2253454,0.3475718,0,0,0,0
61,0,nan,0,nan,0.09318699,nan,7.529356e-05,nan,0,0,0.02507757,0,0,0,0,0.2243019,0.3512192,0,0,0,0
62,0,nan,0,nan,0.1530787,nan,0.0001284459,nan,0,0,0.04096792,0,0,0,0,0.2195625,0.3494949,0,0,0,0
63,0,nan,0,nan,0.1184639,nan,0.0001695792,nan,0,0,0.03180535,0,0,0,0,0.225131,0.3497878,0,0,0,0
64,0,nan,0,nan,0.07940871,nan,0.0001971516,nan,0,0,0.02139704,0,0,0,0,0.2222803,0.3446828,0,0,0,0
65,0,0,0,nan,0.1826594,0.125076,0.000260575,nan,0,0,0.04875214,0,0.03356009,0,0,0.2247386,0.3520267,0,0,0,0
66,0,0,0,nan,0.06246511,0.1161316,0.0002822643,nan,0,0,0.01685807,0,0.03118589,0,0,0.2212836,0.3492032,0,0,0,0
67,0,0,0,nan,0.05322925,0.1082688,0.0003007467,nan,0,0,0.01437787,0,0.02909557,0,0,0.2270777,0.3505569,0,0,0,0
68,0,0,0,nan,0.07629505,0.1047162,0.000327238,nan,0,0,0.020564,0,0.0281501,0,0,0.2218849,0.3512711,0,0,0,0
69,0,0,0,nan,0.08264944,0.1025095,0.0003559358,nan,0,0,0.02226357,0,0.02756253,0,0,0.228816,0.3506114,0,0,0,0
70,0,0,0,nan,0.06001581,0.09864644,0.0003767746,nan,0,0,0.01620075,0,0.02653333,0,0,0.2228693,0.3505947,0,0,0,0
71,0,0,0,nan,0.1702935,0.104617,0.0004359043,nan,0,0,0.04550314,0,0.02812371,0,0,0.2241297,0.3508955,0,0,0,0
72,0,0,0,nan,0.07042921,0.1019872,0.0004603589,nan,0,0,0.01899333,0,0.02742342,0,0,0.2251111,0.3503079,0,0,0,0
73,0,0,0,nan,0.07940871,0.1003744,0.0004879313,nan,0,0,0.02139704,0,0.0269938,0,0,0.2190582,0.3510871,0,0,0,0
74,0,0,0,nan,0.06501436,0.0980171,0.0005105058,nan,0,0,0.01754189,0,0.02636559,0,0,0.2181295,0.3508059,0,0,0,0
75,0,0,0,nan,0.1138188,0.09900471,0.0005500262,nan,0,0,0.03057136,0,0.02662881,0,0,0.2319723,0.3504451,0,0,0,0
76,0,0,0,nan,0.07330348,0.09749288,0.0005754788,nan,0,0,0.01976317,0,0.02622586,0,0,0.2239003,0.3538235,0,0,0,0
77,0,0,0,nan,0.07042921,0.09598934,0.0005999334,nan,0,0,0.01899333,0,0.025825,0,0,0.2220996,0.3533964,0,0,0,0
78,0,0,0,nan,0.06766764,0.09449872,0.0006234291,nan,0,0,0.01825328,0,0.02542748,0,0,0.2252253,0.3520278,0,0,0,0
79,0,0,0,nan,0.08953307,0.09425044,0.000654517,nan,0,0,0.02410243,0,0.02536125,0,0,0.2273609,0.3525268,0,0,0,0
80,0,0,0,nan,0.09699002,0.0943809,0.000688194,nan,0,0,0.0260918,0,0.02539605,0,0,0.2210068,0.3562637,0,0,0,0
81,0,0,0,nan,0.1413094,0.09651401,0.0007372598,nan,0,0,0.03785911,0,0.02596489,0,0,0.2215189,0.3537378,0,0,0,0
82,0,0,0,nan,0.1783715,0.100073,0.0007991944,nan,0,0,0.04762637,0,0.02691349,0,0,0.2224326,0.3520339,0,0,0,0
83,0,0,0,nan,0.1339576,0.1014849,0.0008457074,nan,0,0,0.03591375,0,0.02728963,0,0,0.2218134,0.3529949,0,0,0,0
84,0,0,0,nan,0.1859929,0.1048652,0.0009102883,nan,0,0,0.04962673,0,0.02818978,0,0,0.2214081,0.352654,0,0,0,0
85,0,0,0,nan,0,0.1008319,0.0009102883,nan,0,0,0,0,0.02711568,0,0,0.2297547,0.3550748,0,0,0,0
86,0,0,0,nan,0.05322925,0.09906887,0.0009287707,nan,0,0,0.01437787,0,0.02664591,0,0,0.2224983,0.3520418,0,0,0,0
87,0,0,0,nan,0.1451146,0.1007134,0.0009791577,nan,0,0,0.03886496,0,0.02708409,0,0,0.2249552,0.3567397,0,0,0,0
88,0,0,0,nan,0.1700824,0.1031054,0.001038214,nan,0,0,0.04544761,0,0.02772122,0,0,0.2214038,0.3519677,0,0,0,0
89,0,0,0,0,0.1380969,0.1042718,0.001086164,0.1117035,0,0,0.03700936,0,0.02803179,0,0.03000905,0.2237176,0.3563925,0,0,0,0
90,0,0,0,0,0.180929,0.1067446,0.001148987,0.1117772,0,0,0.04829792,0,0.02869,0,0.03002864,0.2231957,0.3560115,0,0,0,0
91,0,0,0,0,0.06001581,0.1052843,0.001169826,0.118077,0,0,0.01620075,0,0.02830135,0,0.03170261,0.2225117,0.3565875,0,0,0,0
