step,co,stel_co,twa_co,proj_co,no2,stel_no2,twa_no2,proj_no2,model_ok,x0,x1,x2,x3,x4,x5,x6,x7,rule_co,lp_co,rule_no2,lp_no2
53,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
54,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
55,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
56,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
57,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
58,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
59,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
60,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
61,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
62,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
63,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
64,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
65,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
66,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
67,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
68,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
69,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
70,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
71,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
72,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
73,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
74,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
