t_s,co_ppm,no2_ppm,temp_c,rh_pct
4040,99.5,0.383,29.42,64.1
4045,103.5,0,29.42,64.3
4050,99.5,0,29.41,64.23
4055,99.5,0,29.42,64.24
4060,99.5,0,29.44,64.2
4065,99.5,0,29.44,64.18
4070,99.5,0.147,29.42,64.17
4075,95.6,0,29.41,64.21
4080,103.5,0,29.43,64.14
4085,99.5,0,29.41,64.13
4090,91.8,0,29.43,64.27
4095,99.5,0.102,29.43,64.12
4100,95.6,0,29.45,64.15
4105,95.6,0,29.43,64.1
4110,91.8,0,29.42,64.07
4115,99.5,0.289,29.43,64.19
4120,95.6,0.165,29.46,64.21
4125,103.5,0,29.44,64.08
4130,95.6,0.468,29.42,64.12
4135,95.6,0.326,29.47,64.1
4140,99.5,0,29.43,64.16
4145,95.6,0,29.42,64.11
4150,95.6,0.449,29.46,64.08
4155,95.6,0.353,29.42,64.11
4160,95.6,0,29.41,64.12
4165,95.6,0.202,29.41,64.05
4170,95.6,0.313,29.41,64.17
4175,95.6,0,29.42,64.03
4180,91.8,0,29.43,64.06
4185,95.6,0.172,29.44,64.08
4190,95.6,0,29.43,64.11
4195,91.8,0.399,29.42,64.03
4200,88.2,0.326,29.44,64.04
4205,95.6,0,29.4,64
4210,99.5,0.326,29.45,64.08
4215,95.6,0.219,29.45,64.03
4220,91.8,0.237,29.47,64.05
4225,91.8,0,29.46,63.99
4230,91.8,0,29.44,64.04
4235,95.6,0,29.43,64.06
4240,91.8,0,29.41,64.03
4245,84.8,0.289,29.45,64.1
4250,88.2,0.111,29.43,64.01
4255,91.8,0.194,29.43,63.89
4260,91.8,0,29.45,64
4265,95.6,0,29.47,64.09
4270,88.2,0.257,29.43,63.92
4275,91.8,0,29.4,64
4280,84.8,0.12,29.46,64.05
4285,84.8,0.194,29.42,63.98
4290,91.8,0,29.47,64.03
4295,95.6,0.487,29.48,64.07
4300,91.8,0.267,29.45,63.99
4305,91.8,0,29.47,64.01
4310,84.8,0,29.43,63.94
4315,91.8,0,29.45,64.05
4320,95.6,0,29.46,63.94
4325,88.2,0.179,29.48,63.98
