t_s,co_ppm,no2_ppm,temp_c,rh_pct
990,0,0.102,28.27,66.38
995,0,0.147,28.31,66.35
1000,0,0,28.27,66.34
1005,0,0.278,28.3,66.44
1010,0,0,28.29,66.42
1015,0,0.247,28.33,66.29
1020,0,0.165,28.3,66.35
1025,0,0,28.29,66.39
1030,0,0.165,28.3,66.37
1035,6.3,0,28.28,66.26
1040,0,0.257,28.31,66.37
1045,0,0,28.3,66.36
1050,0,0,28.31,66.41
1055,5,0,28.32,66.29
1060,8.7,0.289,28.3,66.31
1065,0,0,28.31,66.26
1070,0,0.237,28.32,66.32
1075,0,0,28.3,66.39
1080,0,0.179,28.27,66.28
1085,0,0,28.34,66.33
1090,0,0,28.32,66.33
1095,5.2,0,28.33,66.3
1100,0,0.115,28.31,66.26
1105,0,0.326,28.33,66.35
1110,0,0.415,28.32,66.29
1115,0,0.111,28.32,66.29
1120,0,0,28.36,66.34
1125,0,0,28.33,66.32
1130,0,0,28.31,66.3
1135,8.7,0,28.32,66.31
1140,0,0,28.31,66.35
1145,0,0,28.34,66.33
1150,0,0,28.33,66.37
1155,0,0,28.31,66.29
1160,6.8,0,28.3,66.19
1165,5.2,0.219,28.34,66.29
1170,0,0.228,28.29,66.31
1175,0,0.507,28.33,66.24
1180,0,0,28.37,66.2
1185,0,0.301,28.32,66.31
1190,0,0,28.32,66.3
1195,0,0,28.32,66.25
1200,0,0,28.35,66.2
1205,0,0,28.32,66.35
1210,0,0.34,28.35,66.26
1215,0,0,28.38,66.26
1220,0,0.194,28.35,66.34
1225,5.6,0,28.32,66.2
1230,0,0,28.33,66.27
1235,0,0,28.34,66.19
1240,0,0,28.31,66.11
1245,0,0,28.36,66.07
1250,0,0,28.36,66.21
1255,0,0.432,28.34,66.21
1260,0,0,28.34,66.16
1265,0,0,28.36,66.15
1270,0,0.383,28.38,66.18
1275,0,0.301,28.39,66.16
1280,7.1,0.326,28.39,66.21
1285,0,0,28.38,66.22
1290,0,0.12,28.37,66.19
1295,6.8,0.21,28.37,66.22
1300,0,0.399,28.4,66.21
1305,0,0.125,28.33,66.27
1310,0,0,28.36,66.16
1315,5.6,0,28.36,66.19
1320,0,0,28.38,66.18
1325,0,0,28.36,66.19
1330,0,0.219,28.35,66.15
1335,0,0,28.38,66.11
1340,0,0.202,28.38,66.03
1345,5.6,0,28.42,66.21
1350,6.3,0.159,28.4,66.11
1355,0,0,28.41,66.16
1360,5.2,0.267,28.4,66.08
1365,0,0,28.4,66.15
1370,5.2,0,28.38,66.16
1375,5.4,0.153,28.38,66.13
1380,0,0.194,28.4,66.13
1385,5.2,0,28.38,65.98
1390,0,0.102,28.37,66.03
1395,5.4,0,28.42,66.15
1400,5.4,0.257,28.37,66
1405,0,0,28.36,66.14
1410,0,0.326,28.43,66.16
1415,9,0.21,28.43,66.06
1420,0,0.219,28.4,66.03
1425,5.6,0.468,28.4,66.05
1430,9,0.228,28.4,66.1
1435,0,0.247,28.41,66.07
1440,0,0,28.38,66.16
1445,6.6,0,28.43,66.04
1450,0,0,28.43,65.97
1455,8,0.219,28.43,66.06
1460,5.4,0,28.44,66.03
1465,0,0,28.41,66.09
1470,9.8,0,28.42,66.01
1475,5.6,0,28.43,65.93
